order_id,customer_id,customer_name,city,state,category,product_name,quantity,price,total_amount,payment_method,order_date
1001,97,Pooja Meena,Pune,Rajasthan,Electronics,Headphones,5,5084,25420,UPI,2025-01-10
1002,7,Amit Singh,Jaipur,Rajasthan,Fashion,Shoes,1,49386,49386,Debit Card,2025-03-06
1003,34,Rohit Yadav,Delhi,Rajasthan,Electronics,Headphones,5,25399,126995,Debit Card,2025-04-18
1004,65,Anjali Verma,Delhi,Karnataka,Home,Chair,2,12175,24350,UPI,2025-04-28
1005,42,Karan Mehta,Delhi,Gujarat,Home,Mixer,3,47548,142644,Credit Card,2025-06-28
1006,54,Neha Kapoor,Mumbai,Rajasthan,Electronics,Smartphone,5,28974,144870,UPI,2025-01-20
1007,58,Neha Kapoor,Mumbai,Delhi,Electronics,Smartphone,3,17595,52785,Cash,2025-05-12
1008,42,Amit Singh,Ahmedabad,Gujarat,Fashion,T-Shirt,4,47794,191176,Cash,2025-04-29
1009,60,Sneha Gupta,Jaipur,Delhi,Fashion,Jacket,2,37582,75164,Cash,2025-02-13
1010,81,Pooja Meena,Mumbai,Gujarat,Fashion,Shoes,1,40930,40930,UPI,2025-03-16
1011,34,Rohit Yadav,Ahmedabad,Gujarat,Home,Chair,1,38855,38855,UPI,2025-06-07
1012,14,Priya Jain,Ahmedabad,Gujarat,Electronics,Laptop,4,40226,160904,UPI,2025-02-16
1013,42,Sneha Gupta,Jaipur,Karnataka,Accessories,Bag,4,29595,118380,Cash,2025-04-07
1014,64,Vikas Singh,Delhi,Maharashtra,Fashion,Jacket,3,30894,92682,Cash,2025-04-05
1015,7,Vikas Singh,Delhi,Rajasthan,Home,Mixer,4,36920,147680,UPI,2025-05-25
1016,2,Rohit Yadav,Jaipur,Karnataka,Accessories,Sunglasses,1,10101,10101,Debit Card,2025-01-08
1017,31,Sneha Gupta,Delhi,Delhi,Accessories,Bag,2,8103,16206,Cash,2025-04-22
1018,37,Amit Singh,Bangalore,Gujarat,Accessories,Bag,1,5364,5364,Credit Card,2025-04-19
1019,55,Priya Jain,Delhi,Rajasthan,Fashion,T-Shirt,1,12772,12772,Credit Card,2025-05-16
1020,63,Rohit Yadav,Delhi,Karnataka,Home,Table,5,39285,196425,Cash,2025-03-19
1021,50,Vikas Singh,Mumbai,Maharashtra,Fashion,Shoes,4,19035,76140,Cash,2025-05-17
1022,59,Neha Kapoor,Mumbai,Rajasthan,Fashion,Jacket,5,45826,229130,UPI,2025-05-27
1023,58,Pooja Meena,Pune,Gujarat,Electronics,Smartphone,5,27141,135705,Cash,2025-01-29
1024,47,Karan Mehta,Mumbai,Gujarat,Fashion,T-Shirt,4,22790,91160,Cash,2025-05-02
1025,85,Rahul Sharma,Delhi,Rajasthan,Accessories,Bag,1,38882,38882,Debit Card,2025-05-25
1026,3,Neha Kapoor,Mumbai,Maharashtra,Home,Mixer,1,44463,44463,Credit Card,2025-03-15
1027,88,Vikas Singh,Bangalore,Delhi,Fashion,T-Shirt,5,11321,56605,Credit Card,2025-06-13
1028,77,Priya Jain,Bangalore,Rajasthan,Electronics,Headphones,4,43021,172084,UPI,2025-03-06
1029,85,Priya Jain,Delhi,Delhi,Accessories,Sunglasses,5,24655,123275,Cash,2025-01-25
1030,10,Amit Singh,Delhi,Rajasthan,Electronics,Laptop,4,33398,133592,UPI,2025-04-09
1031,16,Pooja Meena,Ahmedabad,Maharashtra,Home,Mixer,3,2986,8958,Cash,2025-03-07
1032,88,Amit Singh,Mumbai,Gujarat,Accessories,Watch,5,6537,32685,Credit Card,2025-01-30
1033,61,Amit Singh,Pune,Gujarat,Fashion,T-Shirt,4,22434,89736,Debit Card,2025-06-01
